id,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,Total Departure and Arrival Delay in Minutes,satisfaction,Average Satisfaction,1st Ticket Price,2nd Ticket Price,3rd Ticket Price,4th Ticket Price,,,,
0,Female,Loyal Customer,52,Business travel,Eco,160,5,4,3,4,3,4,3,5,5,5,5,2,5,5,50,44,94,satisfied,4.14,241.5784995,44.51326137,597.8969281,921.6133081,,,,
1,Female,Loyal Customer,36,Business travel,Business,2863,1,1,3,1,5,4,5,4,4,4,4,3,4,5,0,0,0,satisfied,3.43,191.7378698,107.2161169,217.172682,239.1096911,,,,
2,Male,disloyal Customer,20,Business travel,Eco,192,2,0,2,4,2,2,2,2,4,1,3,2,2,2,0,0,0,neutral or dissatisfied,2.14,1287.030658,,,,,,,
3,Male,Loyal Customer,44,Business travel,Business,3377,0,0,0,2,3,4,4,1,1,1,1,3,1,4,0,6,6,satisfied,1.79,872.0751729,1238.37686,974.841564,1102.222343,,,,
4,Female,Loyal Customer,49,Business travel,Eco,1182,2,3,4,3,4,1,2,2,2,2,2,4,2,4,0,20,20,satisfied,2.64,224.0636077,752.0139711,213.2110648,1054.390961,,,,
5,Male,Loyal Customer,16,Business travel,Eco,311,3,3,3,3,5,5,3,5,4,3,1,1,2,5,0,0,0,satisfied,3.29,381.9099413,82.35291443,122.0707327,527.5333062,,,,
6,Female,Loyal Customer,77,Business travel,Business,3987,5,5,5,5,3,5,5,5,5,5,5,4,5,3,0,0,0,satisfied,4.64,937.1872723,139.3744058,1247.688683,1155.532907,,,,
7,Female,disloyal Customer,43,Business travel,Business,2556,2,2,2,2,4,4,5,4,4,4,4,5,4,3,77,65,142,satisfied,3.5,909.3711409,,,,,,,
8,Male,Loyal Customer,47,Business travel,Eco,556,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1,0,1,satisfied,3.64,1157.343199,66.40670324,976.8706032,458.9804824,,,,
9,Female,Loyal Customer,46,Business travel,Business,1744,2,2,2,2,3,4,4,4,4,4,4,5,4,4,28,14,42,satisfied,3.43,858.3865607,86.2204185,1177.734591,886.6396047,,,,
10,Female,Loyal Customer,47,Business travel,Eco,1235,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29,19,48,satisfied,2.79,55.47312759,333.1879655,950.1893459,266.4905322,,,,
11,Female,Loyal Customer,33,Business travel,Business,325,2,5,5,5,1,3,4,2,2,2,2,3,2,4,18,7,25,neutral or dissatisfied,3,913.4025419,1185.095657,648.5084152,1056.145517,,,,
12,Female,Loyal Customer,46,Business travel,Business,1009,5,5,5,5,4,5,5,5,5,5,5,5,5,3,0,0,0,satisfied,4.79,1139.783391,649.3553277,660.5634776,476.5679576,,,,
13,Female,Loyal Customer,60,Business travel,Business,451,1,1,4,1,5,5,4,5,5,5,5,3,5,5,117,113,230,satisfied,3.86,504.0146761,1192.005353,1079.491532,792.7146369,,,,
14,Female,disloyal Customer,52,Business travel,Business,925,2,2,2,2,5,5,4,4,4,4,4,3,4,5,10,0,10,satisfied,3.57,887.0123168,,,,,,,
15,Male,disloyal Customer,50,Personal Travel,Eco,83,3,4,0,3,2,0,2,2,4,2,4,4,5,2,5,2,7,neutral or dissatisfied,2.64,636.6345323,91.00116713,,,,,,
16,Female,disloyal Customer,31,Business travel,Eco,728,2,5,5,5,2,2,2,2,4,3,3,4,3,2,2,0,2,neutral or dissatisfied,3.14,46.51354703,376.9262046,1295.107624,,,,,
17,Male,disloyal Customer,52,Personal Travel,Eco Plus,1075,5,4,5,3,4,5,4,4,3,5,5,4,5,4,0,0,0,satisfied,4.29,672.973901,,,,,,,
18,Female,disloyal Customer,43,Personal Travel,Eco,1927,3,4,3,1,4,4,5,5,5,3,5,4,5,3,0,0,0,neutral or dissatisfied,3.86,1050.734925,,,,,,,
19,Female,disloyal Customer,50,Business travel,Business,3799,5,5,5,5,4,5,4,4,4,5,4,5,4,5,8,0,8,satisfied,4.57,230.5231975,,,,,,,
20,Male,disloyal Customer,60,Business travel,Business,612,4,4,4,4,2,4,5,5,5,5,5,5,5,5,21,49,70,satisfied,4.43,1167.659864,,,,,,,
21,Male,disloyal Customer,43,Personal Travel,Eco,1437,3,4,3,4,2,3,2,2,4,2,4,4,5,2,0,0,0,neutral or dissatisfied,3.14,805.8543679,,,,,,,
22,Male,Loyal Customer,55,Personal Travel,Eco,302,1,2,4,3,4,4,4,4,1,3,2,4,3,4,0,0,0,neutral or dissatisfied,3.07,520.0185392,593.8990954,915.69458,1286.245948,,,,
23,Male,Loyal Customer,25,Business travel,Business,1428,4,4,4,4,4,4,4,4,1,5,3,1,5,4,0,0,0,satisfied,3.64,140.2602714,275.9571386,1082.440953,1222.019548,,,,
24,Female,disloyal Customer,30,Business travel,Eco,528,4,3,5,3,2,5,2,2,3,2,3,4,4,2,0,0,0,neutral or dissatisfied,3.14,1106.377791,,,,,,,
25,Male,Loyal Customer,62,Personal Travel,Eco,710,3,5,3,4,2,3,2,2,3,5,5,4,4,2,0,0,0,neutral or dissatisfied,3.36,1036.275419,988.1726049,905.1471052,91.94224034,,,,
26,Male,Loyal Customer,24,Business travel,Business,3680,4,1,4,4,2,2,2,2,5,5,5,5,4,2,0,0,0,satisfied,3.36,1137.184722,457.8982744,1183.380548,658.1897702,,,,
27,Female,Loyal Customer,22,Business travel,Eco,1521,4,1,1,1,4,4,4,4,1,4,1,1,5,4,3,13,16,satisfied,2.79,191.7774671,1003.631805,927.9746394,614.0213696,,,,
28,Male,Loyal Customer,44,Business travel,Business,1543,3,5,3,3,5,4,5,5,5,5,5,5,5,5,0,0,0,satisfied,4.5,1067.165657,836.7235539,295.449843,971.4987811,,,,
29,Male,Loyal Customer,51,Business travel,Eco,235,4,3,3,3,4,4,4,4,3,2,3,3,4,4,0,0,0,neutral or dissatisfied,3.43,773.6361603,645.8556362,629.7833475,371.077256,,,,
30,Male,Loyal Customer,43,Personal Travel,Business,1235,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0,0,0,neutral or dissatisfied,2.71,837.8484563,295.0582093,129.7144965,875.9962228,,,,
31,Female,Loyal Customer,56,Business travel,Eco,308,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0,0,0,satisfied,2.64,1271.584449,480.9513969,410.0513111,206.4123219,,,,
32,Male,disloyal Customer,41,Business travel,Eco,624,2,3,2,4,5,2,5,5,4,3,3,1,4,5,0,0,0,neutral or dissatisfied,3.43,237.7442149,,,,,,,
33,Male,disloyal Customer,22,Personal Travel,Eco,1846,4,5,4,4,5,4,5,5,5,4,4,4,4,5,40,68,108,neutral or dissatisfied,4.43,387.8760882,79.20566319,,,,,,
34,Female,disloyal Customer,53,Business travel,Eco,192,5,2,2,2,3,4,2,5,5,5,5,2,5,4,0,1,1,satisfied,3.64,586.5540157,552.0489753,,,,,,
35,Male,disloyal Customer,12,Personal Travel,Eco,674,3,4,3,1,1,3,1,1,3,3,5,4,4,1,80,70,150,neutral or dissatisfied,2.64,1042.327574,,,,,,,
36,Female,disloyal Customer,39,Business travel,Business,370,3,3,3,3,2,4,5,4,4,4,4,4,4,5,10,12,22,satisfied,3.71,873.3231303,,,,,,,
37,Female,disloyal Customer,55,Business travel,Business,3169,1,1,1,1,3,5,4,5,5,5,5,3,5,5,73,68,141,satisfied,3.5,170.7018073,,,,,,,
38,Female,disloyal Customer,32,Business travel,Business,802,4,4,4,2,2,4,4,2,4,2,4,3,5,2,0,10,10,neutral or dissatisfied,3.29,1146.646452,815.9267893,,,,,,
